Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24,lower,higher
India,Bachelor’s degree,DBA/Database Engineer,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,10000-14999,10000.0,14999.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,100000-124999,100000.0,124999.0
India,Master’s degree,Student,3-5 years,Python,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Master’s degree,Data Scientist,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,15000-19999,15000.0,19999.0
India,Bachelor’s degree,Business Analyst,3-5 years,Python,,SQL,,,,Javascript,,,,,,Other,Python,,,,,,,,,,,,,25000-29999,25000.0,29999.0
Philippines,Bachelor’s degree,Software Engineer,10-20 years,Python,,,C,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,20000-24999,20000.0,24999.0
Germany,Master’s degree,Machine Learning Engineer,20+ years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,200000-249999,200000.0,249999.0
Netherlands,Master’s degree,Software Engineer,20+ years,Python,,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,70000-79999,70000.0,79999.0
South Africa,Some college/university study without earning a bachelor’s degree,Data Engineer,20+ years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,30000-39999,30000.0,39999.0
Republic of Korea,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
Japan,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,70000-79999,70000.0,79999.0
Germany,Master’s degree,Software Engineer,10-20 years,Python,,SQL,,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,60000-69999,60000.0,69999.0
India,Bachelor’s degree,Student,< 1 years,Python,,,C,C++,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Russia,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
"Iran, Islamic Republic of...",Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,,,
Other,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Other,10-20 years,Python,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,150000-199999,150000.0,199999.0
India,Master’s degree,Other,20+ years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,50000-59999,50000.0,59999.0
Tunisia,Master’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Professional degree,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Data Engineer,5-10 years,,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Pakistan,Master’s degree,Student,3-5 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Software Engineer,< 1 years,Python,,SQL,,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,7500-9999,7500.0,9999.0
Thailand,Doctoral degree,Data Scientist,1-2 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,150000-199999,150000.0,199999.0
India,Bachelor’s degree,Other,1-2 years,,,SQL,,,,Javascript,,,,,,,SQL,,,,,,,,,,,,,,,
Egypt,Master’s degree,Other,3-5 years,Python,,SQL,,,Java,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,10000-14999,10000.0,14999.0
United States of America,Bachelor’s degree,Currently not employed,3-5 years,Python,,SQL,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
China,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Master’s degree,Currently not employed,1-2 years,Python,R,,C,,Java,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
France,Master’s degree,Product/Project Manager,10-20 years,Python,,SQL,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,80000-89999,80000.0,89999.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,20+ years,,R,,C,,Java,,,,,MATLAB,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,150000-199999,150000.0,199999.0
Nigeria,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Egypt,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
Canada,Bachelor’s degree,Student,3-5 years,Python,R,,,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
Greece,Bachelor’s degree,Software Engineer,3-5 years,Python,,,C,,Java,,,,,,,,Python,,,,,,,,Generative Adversarial Networks,Recurrent Neural Networks,,,,50000-59999,50000.0,59999.0
South Africa,Master’s degree,Other,5-10 years,Python,,,,C++,,,,,,,,Other,Python,,,,,,,Convolutional Neural Networks,,,,,,20000-24999,20000.0,24999.0
India,Master’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,Python,R,SQL,C,C++,,Javascript,,,,,,Other,Python,,,,,,,,,,,,,,,
Ukraine,Master’s degree,Currently not employed,1-2 years,Python,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Master’s degree,Business Analyst,< 1 years,,R,,,,,,,,,,,,R,Linear or Logistic Regression,,,,,,,,,,,,30000-39999,30000.0,39999.0
India,Master’s degree,Business Analyst,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,200000-249999,200000.0,249999.0
France,Doctoral degree,Data Scientist,3-5 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,,,Recurrent Neural Networks,,,,50000-59999,50000.0,59999.0
Other,Doctoral degree,Research Scientist,1-2 years,,,,,,,,,,,MATLAB,,,MATLAB,,,,,,,,,,,,,,,
France,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,40000-49999,40000.0,49999.0
United States of America,Master’s degree,Currently not employed,3-5 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
France,Master’s degree,Data Scientist,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,Generative Adversarial Networks,Recurrent Neural Networks,,,,,,
United States of America,Master’s degree,Research Scientist,20+ years,Python,,SQL,C,C++,Java,,,,Bash,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,200000-249999,200000.0,249999.0
Greece,Master’s degree,Software Engineer,20+ years,Python,,SQL,,,,Javascript,,,,,,Other,Python,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,15000-19999,15000.0,19999.0
India,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,,,
Switzerland,Master’s degree,Other,20+ years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,150000-199999,150000.0,199999.0
Pakistan,Bachelor’s degree,Currently not employed,3-5 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Tunisia,Master’s degree,Business Analyst,< 1 years,Python,R,SQL,C,C++,Java,Javascript,,Swift,,MATLAB,,Other,Python,,,,,,,,,,,,,,,
Republic of Korea,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,Python,,,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,20000-24999,20000.0,24999.0
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,,,
Portugal,Master’s degree,Machine Learning Engineer,20+ years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,25000-29999,25000.0,29999.0
Australia,Master’s degree,Other,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,20000-24999,20000.0,24999.0
Viet Nam,Bachelor’s degree,Machine Learning Engineer,5-10 years,Python,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Master’s degree,Data Analyst,3-5 years,Python,,,,,,Javascript,,,,,,,Python,,,,,,,,,,,,,100000-124999,100000.0,124999.0
Other,Doctoral degree,Research Scientist,10-20 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,10000-14999,10000.0,14999.0
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Master’s degree,Data Analyst,3-5 years,Python,R,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,50000-59999,50000.0,59999.0
Peru,Bachelor’s degree,Student,3-5 years,Python,,,,C++,Java,Javascript,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,,,
Nigeria,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
Other,Master’s degree,Student,3-5 years,Python,,,,,,,,,Bash,,,,Other,,Decision Trees or Random Forests,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
Belarus,Bachelor’s degree,Software Engineer,10-20 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,40000-49999,40000.0,49999.0
Nigeria,Master’s degree,Student,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Tunisia,Master’s degree,Data Scientist,1-2 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,30000-39999,30000.0,39999.0
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Master’s degree,Currently not employed,20+ years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,,,
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,Bash,,,,Python,,,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,5000-7499,5000.0,7499.0
India,Bachelor’s degree,Student,5-10 years,Python,,,,,,,,,,,,,Java,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Currently not employed,3-5 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
South Korea,Master’s degree,Currently not employed,5-10 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,,,
France,Doctoral degree,Data Scientist,10-20 years,Python,,SQL,,C++,,,,,Bash,,,,Python,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,60000-69999,60000.0,69999.0
India,Bachelor’s degree,Data Analyst,1-2 years,Python,R,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,5000-7499,5000.0,7499.0
Morocco,Master’s degree,Currently not employed,3-5 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Switzerland,Master’s degree,Business Analyst,20+ years,Python,,SQL,,,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,125000-149999,125000.0,149999.0
India,Bachelor’s degree,Currently not employed,1-2 years,Python,R,SQL,,C++,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
Egypt,Bachelor’s degree,Other,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,7500-9999,7500.0,9999.0
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Bachelor’s degree,Business Analyst,10-20 years,,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,25000-29999,25000.0,29999.0
Ghana,Bachelor’s degree,Data Analyst,3-5 years,Python,,SQL,,C++,Java,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,500000-600000,500000.0,600000.0
Belarus,Bachelor’s degree,Software Engineer,10-20 years,,,SQL,,,,,,,,,,,Other,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,10000-14999,10000.0,14999.0
India,Bachelor’s degree,Software Engineer,< 1 years,,,,,,,,,,,,,Other,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,Javascript,,,,,,,C++,,,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Student,< 1 years,Python,,,,,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Ghana,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
United States of America,Master’s degree,Other,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,150000-199999,150000.0,199999.0
Italy,Doctoral degree,Research Scientist,20+ years,,,,C,C++,,,,,,,,,C,Linear or Logistic Regression,,,,,,,,,,,,40000-49999,40000.0,49999.0
India,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,Bash,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,15000-19999,15000.0,19999.0
India,Master’s degree,Student,3-5 years,Python,,SQL,,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,10000-14999,10000.0,14999.0
Germany,Master’s degree,Data Analyst,5-10 years,Python,R,SQL,,,,,,,,,,,SQL,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,100000-124999,100000.0,124999.0
China,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,10000-14999,10000.0,14999.0
United States of America,Master’s degree,Software Engineer,20+ years,,,SQL,,,Java,,,,Bash,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,80000-89999,80000.0,89999.0
India,Master’s degree,Software Engineer,10-20 years,Python,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Master’s degree,Software Engineer,20+ years,,,,,,,,,,,,,Other,Other,,,,,,,,,,,,,150000-199999,150000.0,199999.0
Malaysia,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Canada,Master’s degree,Data Scientist,20+ years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,90000-99999,90000.0,99999.0
Other,Master’s degree,Data Analyst,5-10 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,,,,,,,,,,,,60000-69999,60000.0,69999.0
India,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Brazil,Master’s degree,Other,20+ years,,,SQL,,,,Javascript,,,,,,Other,R,,,,,,,,,,,,,20000-24999,20000.0,24999.0
Turkey,Master’s degree,Product/Project Manager,20+ years,Python,R,SQL,C,C++,Java,Javascript,,Swift,Bash,MATLAB,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,20000-24999,20000.0,24999.0
Nigeria,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Portugal,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,50000-59999,50000.0,59999.0
Other,Master’s degree,Product/Project Manager,20+ years,Python,,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,20000-24999,20000.0,24999.0
China,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Malaysia,Master’s degree,Currently not employed,< 1 years,,R,,,,,,,,,MATLAB,,,MATLAB,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Chile,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
China,Bachelor’s degree,Student,< 1 years,Python,R,SQL,C,,Java,Javascript,,,,MATLAB,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
Bangladesh,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,C,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Australia,Bachelor’s degree,Student,< 1 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,
Italy,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,None,,,,
Nigeria,Bachelor’s degree,Student,< 1 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
France,Doctoral degree,Machine Learning Engineer,10-20 years,Python,,,C,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,Other,70000-79999,70000.0,79999.0
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
Kenya,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Ukraine,Master’s degree,Software Engineer,3-5 years,,,SQL,,,Java,,,Swift,,,,,Python,,,,,,,,,,,,,,,
France,Master’s degree,Data Scientist,3-5 years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,50000-59999,50000.0,59999.0
Japan,Master’s degree,Product/Project Manager,5-10 years,Python,,,,,,Javascript,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,125000-149999,125000.0,149999.0
Other,Master’s degree,Software Engineer,20+ years,Python,,SQL,,,Java,Javascript,,,Bash,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,60000-69999,60000.0,69999.0
Japan,Master’s degree,Software Engineer,5-10 years,Python,,SQL,,,Java,Javascript,,,,,,Other,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,50000-59999,50000.0,59999.0
United States of America,Doctoral degree,Software Engineer,20+ years,Python,,SQL,,,Java,Javascript,,,Bash,,,,Other,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,150000-199999,150000.0,199999.0
India,Master’s degree,Software Engineer,5-10 years,,,SQL,,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
Other,Bachelor’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,
India,Master’s degree,Data Scientist,1-2 years,Python,R,SQL,,C++,Java,,,,,,,,Python,,,,,,,,,,,,,,,
Netherlands,Master’s degree,Student,5-10 years,,,,,,,,Julia,,,,,,Julia,,,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
United States of America,Master’s degree,Data Analyst,3-5 years,Python,R,SQL,C,C++,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
