Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
Tunisia,Master’s degree,Data Scientist,1-2 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"30,000-39,999"
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Master’s degree,Currently not employed,20+ years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,Bash,,,,Python,,,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"5,000-7,499"
India,Bachelor’s degree,Student,5-10 years,Python,,,,,,,,,,,,,Java,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Currently not employed,3-5 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
South Korea,Master’s degree,Currently not employed,5-10 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,
France,Doctoral degree,Data Scientist,10-20 years,Python,,SQL,,C++,,,,,Bash,,,,Python,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"60,000-69,999"
India,Bachelor’s degree,Data Analyst,1-2 years,Python,R,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"5,000-7,499"
Indonesia,Doctoral degree,Research Scientist,10-20 years,,,SQL,C,C++,Java,,,,,MATLAB,,,C,,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
Morocco,Master’s degree,Currently not employed,3-5 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Switzerland,Master’s degree,Business Analyst,20+ years,Python,,SQL,,,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"125,000-149,999"
India,Bachelor’s degree,Currently not employed,1-2 years,Python,R,SQL,,C++,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,
Egypt,Bachelor’s degree,Other,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,"7,500-9,999"
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Bachelor’s degree,Business Analyst,10-20 years,,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"25,000-29,999"
Ghana,Bachelor’s degree,Data Analyst,3-5 years,Python,,SQL,,C++,Java,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"> $500,000"
Belarus,Bachelor’s degree,Software Engineer,10-20 years,,,SQL,,,,,,,,,,,Other,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"10,000-14,999"
India,Bachelor’s degree,Software Engineer,< 1 years,,,,,,,,,,,,,Other,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,Javascript,,,,,,,C++,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Student,< 1 years,Python,,,,,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,
Ghana,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
United States of America,Master’s degree,Other,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"150,000-199,999"
Italy,Doctoral degree,Research Scientist,20+ years,,,,C,C++,,,,,,,,,C,Linear or Logistic Regression,,,,,,,,,,,,"40,000-49,999"
India,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,Bash,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"15,000-19,999"
India,Master’s degree,Student,3-5 years,Python,,SQL,,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"10,000-14,999"
Germany,Master’s degree,Data Analyst,5-10 years,Python,R,SQL,,,,,,,,,,,SQL,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"100,000-124,999"
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,3-5 years,,R,,,,,,,,,,,,Python,,,,,,,,,,,,,$0-999
China,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"10,000-14,999"
United States of America,Master’s degree,Software Engineer,20+ years,,,SQL,,,Java,,,,Bash,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"80,000-89,999"
India,Master’s degree,Software Engineer,10-20 years,Python,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,
Japan,Bachelor’s degree,Software Engineer,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,"3,000-3,999"
United States of America,Master’s degree,Software Engineer,20+ years,,,,,,,,,,,,,Other,Other,,,,,,,,,,,,,"150,000-199,999"
Malaysia,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Canada,Master’s degree,Data Scientist,20+ years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"90,000-99,999"
Other,Master’s degree,Data Analyst,5-10 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,,,,,,,,,,,,"60,000-69,999"
India,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Brazil,Master’s degree,Other,20+ years,,,SQL,,,,Javascript,,,,,,Other,R,,,,,,,,,,,,,"20,000-24,999"
South Korea,Master’s degree,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
Turkey,Master’s degree,Product/Project Manager,20+ years,Python,R,SQL,C,C++,Java,Javascript,,Swift,Bash,MATLAB,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"20,000-24,999"
Nigeria,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Portugal,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"50,000-59,999"
Other,Master’s degree,Product/Project Manager,20+ years,Python,,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"20,000-24,999"
China,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Malaysia,Master’s degree,Currently not employed,< 1 years,,R,,,,,,,,,MATLAB,,,MATLAB,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Chile,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
China,Bachelor’s degree,Student,< 1 years,Python,R,SQL,C,,Java,Javascript,,,,MATLAB,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Bangladesh,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,C,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Australia,Bachelor’s degree,Student,< 1 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
Italy,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,None,,
Nigeria,Bachelor’s degree,Student,< 1 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,Master’s degree,Business Analyst,< 1 years,Python,R,SQL,C,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
France,Doctoral degree,Machine Learning Engineer,10-20 years,Python,,,C,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,Other,"70,000-79,999"
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
Kenya,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Ukraine,Master’s degree,Software Engineer,3-5 years,,,SQL,,,Java,,,Swift,,,,,Python,,,,,,,,,,,,,
France,Master’s degree,Data Scientist,3-5 years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"50,000-59,999"
Japan,Master’s degree,Product/Project Manager,5-10 years,Python,,,,,,Javascript,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"125,000-149,999"
Other,Master’s degree,Software Engineer,20+ years,Python,,SQL,,,Java,Javascript,,,Bash,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"60,000-69,999"
Japan,Master’s degree,Software Engineer,5-10 years,Python,,SQL,,,Java,Javascript,,,,,,Other,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"50,000-59,999"
United States of America,Doctoral degree,Software Engineer,20+ years,Python,,SQL,,,Java,Javascript,,,Bash,,,,Other,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"150,000-199,999"
India,Master’s degree,Software Engineer,5-10 years,,,SQL,,,Java,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
Other,Bachelor’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
India,Master’s degree,Data Scientist,1-2 years,Python,R,SQL,,C++,Java,,,,,,,,Python,,,,,,,,,,,,,
Netherlands,Master’s degree,Student,5-10 years,,,,,,,,Julia,,,,,,Julia,,,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Japan,Master’s degree,Machine Learning Engineer,20+ years,Python,,,,C++,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,$0-999
United States of America,Master’s degree,Data Analyst,3-5 years,Python,R,SQL,C,C++,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,
Other,Master’s degree,Business Analyst,1-2 years,Python,,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,Convolutional Neural Networks,,,,,,"50,000-59,999"
India,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,
Other,No formal education past high school,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Master’s degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"7,500-9,999"
Indonesia,Doctoral degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,$0-999
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Doctoral degree,Machine Learning Engineer,5-10 years,Python,,,,C++,Java,,,,,MATLAB,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,$0-999
India,Bachelor’s degree,Data Analyst,3-5 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"2,000-2,999"
Mexico,Bachelor’s degree,Other,10-20 years,Python,,,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"70,000-79,999"
Sri Lanka,Bachelor’s degree,Student,< 1 years,,,,C,,,,,,,,,,R,,,,,,,,,,,,,
Portugal,Master’s degree,Student,3-5 years,Python,R,,,,Java,,,,,,,,Python,,,,,,,,,,,None,,
India,Bachelor’s degree,Software Engineer,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Other,1-2 years,Python,R,SQL,,,,Javascript,,,,,,,R,,,,,,,,,,,,,"40,000-49,999"
United States of America,Master’s degree,Data Scientist,10-20 years,Python,R,SQL,,,,,,,,MATLAB,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"150,000-199,999"
India,Professional degree,DBA/Database Engineer,20+ years,Python,,SQL,C,C++,Java,,,,,,,Other,C,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
United States of America,Master’s degree,Software Engineer,5-10 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"125,000-149,999"
Australia,Bachelor’s degree,Currently not employed,< 1 years,,,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Russia,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"20,000-24,999"
India,Bachelor’s degree,Business Analyst,5-10 years,Python,R,SQL,,,,,,,Bash,,,,SQL,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"10,000-14,999"
Poland,Master’s degree,Other,1-2 years,,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,"30,000-39,999"
India,Professional degree,Product/Project Manager,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,$0-999
United States of America,Bachelor’s degree,Business Analyst,< 1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bachelor’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Doctoral degree,Statistician,1-2 years,,R,,,,,,,,,,,Other,R,,,,,,,,,,,,,"3,000-3,999"
"Iran, Islamic Republic of...",Master’s degree,Software Engineer,5-10 years,,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,$0-999
Japan,Bachelor’s degree,Data Scientist,5-10 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
United States of America,Bachelor’s degree,Software Engineer,3-5 years,Python,,,,,,,,,Bash,,,Other,SQL,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"80,000-89,999"
China,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,None,,
Peru,Master’s degree,Currently not employed,< 1 years,,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Currently not employed,1-2 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
"Iran, Islamic Republic of...",Master’s degree,Other,1-2 years,Python,R,SQL,,,,,,,,,,,R,,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,,,,,,,$0-999
Viet Nam,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,,,,,,,,,,,,C,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,$0-999
United States of America,Master’s degree,Data Engineer,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"80,000-89,999"
Australia,Master’s degree,Other,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"70,000-79,999"
India,Master’s degree,Business Analyst,< 1 years,,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,,,,,,,,,,,,"20,000-24,999"
United States of America,Bachelor’s degree,Other,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"125,000-149,999"
Other,Doctoral degree,Research Scientist,< 1 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
United States of America,Doctoral degree,Other,10-20 years,,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"70,000-79,999"
Nigeria,Professional degree,Currently not employed,< 1 years,Python,,,,,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,
Other,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,C++,Java,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"25,000-29,999"
India,Doctoral degree,Other,10-20 years,Python,R,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"70,000-79,999"
Russia,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,,,,,,Java,Javascript,,,,,,Other,Other,,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,"7,500-9,999"
India,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,R,,,,,,,,,,,Other,Python,,,,,,,,,,,,,
France,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Other,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"70,000-79,999"
Other,Bachelor’s degree,Currently not employed,1-2 years,Python,,,,,Java,,,,Bash,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Other,Master’s degree,Software Engineer,5-10 years,Python,,SQL,C,C++,Java,Javascript,,Swift,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"20,000-24,999"
Italy,Master’s degree,Data Analyst,10-20 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"50,000-59,999"
Other,Master’s degree,Data Scientist,3-5 years,Python,R,SQL,,,,,Julia,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"10,000-14,999"
United States of America,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,
Portugal,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,None,,
Indonesia,Bachelor’s degree,Student,1-2 years,Python,R,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Mexico,Master’s degree,Business Analyst,< 1 years,,,,,,,,,,,,,Other,Python,,,,,,,,,,,,,$0-999
Netherlands,Master’s degree,Product/Project Manager,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"100,000-124,999"
United States of America,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,Other,"100,000-124,999"
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
India,Professional degree,Student,< 1 years,Python,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,
India,Master’s degree,Product/Project Manager,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,None,,"40,000-49,999"
India,Bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,$0-999
Netherlands,Bachelor’s degree,Other,5-10 years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"100,000-124,999"
Spain,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"25,000-29,999"
Spain,Master’s degree,Data Scientist,3-5 years,Python,R,SQL,,,,,,,,MATLAB,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"70,000-79,999"
Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,Python,,,,,Java,Javascript,,,,,,,Swift,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,20+ years,Python,R,,,,Java,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"150,000-199,999"
India,Doctoral degree,Student,1-2 years,Python,,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Other,Master’s degree,Research Scientist,1-2 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,,,,$0-999
India,Bachelor’s degree,Currently not employed,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
Japan,Master’s degree,Data Analyst,5-10 years,Python,,,,,,,,,,MATLAB,,,MATLAB,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
