Q3,Q4,Q5,Q6,Q8
United States of America,Bachelor’s degree,Student,1-2 years,Python
Viet Nam,Bachelor’s degree,Student,3-5 years,Python
United States of America,Bachelor’s degree,Data Analyst,< 1 years,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Turkey,Bachelor’s degree,Product/Project Manager,10-20 years,C++
Indonesia,Master’s degree,Other,1-2 years,R
Poland,Master’s degree,Student,5-10 years,Python
Poland,Master’s degree,Data Scientist,3-5 years,SQL
Spain,Master’s degree,Research Scientist,1-2 years,Python
India,Master’s degree,Data Scientist,10-20 years,Python
Nigeria,Bachelor’s degree,Currently not employed,1-2 years,Python
Greece,Some college/university study without earning a bachelor’s degree,Student,,
Brazil,Master’s degree,Machine Learning Engineer,5-10 years,Python
Japan,Master’s degree,Software Engineer,10-20 years,Python
United States of America,Bachelor’s degree,Data Analyst,< 1 years,Python
United States of America,Master’s degree,Product/Project Manager,5-10 years,Python
United States of America,Master’s degree,Currently not employed,1-2 years,Python
Taiwan,Master’s degree,Software Engineer,5-10 years,Python
Pakistan,Bachelor’s degree,Data Scientist,3-5 years,Python
Egypt,Bachelor’s degree,Software Engineer,5-10 years,Python
United States of America,Doctoral degree,Data Scientist,1-2 years,Python
Brazil,Bachelor’s degree,Business Analyst,20+ years,Python
India,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Data Engineer,5-10 years,Python
Spain,Professional degree,Currently not employed,5-10 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Japan,Master’s degree,Data Scientist,3-5 years,Python
Australia,Master’s degree,Data Scientist,5-10 years,Python
France,Master’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Bangladesh,Master’s degree,Student,3-5 years,Python
Ukraine,Some college/university study without earning a bachelor’s degree,Product/Project Manager,1-2 years,Python
Poland,Master’s degree,Data Scientist,10-20 years,Python
India,Master’s degree,Software Engineer,3-5 years,Python
Germany,Master’s degree,Currently not employed,3-5 years,Python
Egypt,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python
Kenya,Bachelor’s degree,Business Analyst,< 1 years,R
India,Bachelor’s degree,Student,3-5 years,Python
Other,Master’s degree,Statistician,10-20 years,Python
Argentina,Bachelor’s degree,Data Scientist,5-10 years,Python
Poland,Doctoral degree,Product/Project Manager,20+ years,Python
Pakistan,Master’s degree,Other,3-5 years,Python
India,Master’s degree,Student,1-2 years,Python
Nigeria,Bachelor’s degree,Data Scientist,3-5 years,R
Indonesia,Bachelor’s degree,Data Analyst,5-10 years,Python
India,Professional degree,Software Engineer,10-20 years,Python
India,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Business Analyst,1-2 years,
China,Bachelor’s degree,Data Analyst,1-2 years,Python
Other,Doctoral degree,Data Scientist,5-10 years,R
India,Bachelor’s degree,Currently not employed,1-2 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
Singapore,Doctoral degree,Research Scientist,10-20 years,Python
Brazil,Master’s degree,Data Scientist,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,1-2 years,Python
South Korea,Master’s degree,Machine Learning Engineer,20+ years,C
United States of America,Master’s degree,Research Scientist,5-10 years,Python
Nigeria,Bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Machine Learning Engineer,10-20 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,< 1 years,Python
India,Professional degree,Data Scientist,1-2 years,Python
Brazil,Bachelor’s degree,Data Analyst,3-5 years,Python
Indonesia,Bachelor’s degree,Research Scientist,< 1 years,Python
United States of America,Master’s degree,Data Scientist,10-20 years,Python
Italy,Master’s degree,Business Analyst,1-2 years,Python
Other,Master’s degree,Software Engineer,5-10 years,Python
India,Master’s degree,Data Scientist,1-2 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Product/Project Manager,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Currently not employed,10-20 years,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Australia,Master’s degree,Data Analyst,1-2 years,R
Spain,Master’s degree,Data Scientist,20+ years,Julia
India,Master’s degree,Machine Learning Engineer,1-2 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
Indonesia,Master’s degree,Student,< 1 years,Python
Other,Bachelor’s degree,Student,3-5 years,Python
Mexico,Bachelor’s degree,Machine Learning Engineer,10-20 years,Python
Germany,Master’s degree,Research Scientist,5-10 years,Python
Netherlands,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,Python
India,Doctoral degree,Research Scientist,1-2 years,Python
United States of America,I prefer not to answer,Research Scientist,20+ years,Python
Morocco,Master’s degree,Research Scientist,5-10 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Italy,Master’s degree,Data Scientist,1-2 years,Python
Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Bangladesh,Bachelor’s degree,Student,1-2 years,Python
China,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
India,Doctoral degree,,,
India,Bachelor’s degree,Student,< 1 years,C++
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Russia,Doctoral degree,Machine Learning Engineer,20+ years,Python
Russia,Doctoral degree,Currently not employed,3-5 years,R
Portugal,Bachelor’s degree,Other,20+ years,Python
Nigeria,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Other,3-5 years,Python
Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
United States of America,Bachelor’s degree,Student,3-5 years,None
Other,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Other,20+ years,Python
India,Bachelor’s degree,Other,1-2 years,R
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Python
Germany,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python
Israel,Doctoral degree,Other,20+ years,Other
France,Doctoral degree,Data Scientist,3-5 years,Python
Russia,Professional degree,Product/Project Manager,1-2 years,Python
Canada,Bachelor’s degree,Product/Project Manager,1-2 years,Python
France,Master’s degree,Data Scientist,3-5 years,Python
India,Bachelor’s degree,Research Scientist,1-2 years,Python
Japan,Master’s degree,Data Scientist,3-5 years,Python
Japan,Doctoral degree,Research Scientist,10-20 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Javascript
"Iran, Islamic Republic of...",Doctoral degree,Research Scientist,3-5 years,Python
Nigeria,Bachelor’s degree,Data Analyst,< 1 years,Python
Japan,Doctoral degree,Research Scientist,10-20 years,Python
Spain,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Master’s degree,Data Scientist,10-20 years,Python
Canada,Master’s degree,Currently not employed,1-2 years,SQL
India,Bachelor’s degree,Data Scientist,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
United States of America,Master’s degree,Student,< 1 years,Python
Turkey,Bachelor’s degree,Machine Learning Engineer,< 1 years,MATLAB
India,Bachelor’s degree,Software Engineer,3-5 years,R
Mexico,Master’s degree,Business Analyst,5-10 years,Python
Singapore,Master’s degree,Data Scientist,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5-10 years,Python
India,Master’s degree,Machine Learning Engineer,3-5 years,Python
France,Doctoral degree,Research Scientist,3-5 years,Python
Nigeria,Master’s degree,Data Analyst,< 1 years,Python
South Korea,Doctoral degree,Research Scientist,5-10 years,Python
Brazil,Master’s degree,Data Scientist,10-20 years,R
United States of America,Bachelor’s degree,Currently not employed,1-2 years,Python
Belgium,Doctoral degree,Data Scientist,5-10 years,Python
Spain,Master’s degree,Business Analyst,20+ years,Python
Other,Bachelor’s degree,Student,1-2 years,Python
Other,Master’s degree,,,
India,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
France,Professional degree,Software Engineer,10-20 years,Python
India,Professional degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
India,Master’s degree,,,
Israel,Master’s degree,Data Scientist,5-10 years,Python
China,Master’s degree,Software Engineer,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Currently not employed,5-10 years,Python
India,Bachelor’s degree,Data Analyst,10-20 years,Python
India,Master’s degree,Other,1-2 years,Python
Mexico,Bachelor’s degree,Research Scientist,3-5 years,Python
United States of America,Doctoral degree,Research Scientist,20+ years,Python
Australia,Master’s degree,Data Scientist,3-5 years,Java
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,20+ years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
South Africa,Bachelor’s degree,Data Analyst,< 1 years,Python
United States of America,Doctoral degree,Research Scientist,20+ years,Julia
Other,Master’s degree,Data Scientist,1-2 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
Brazil,Master’s degree,Data Scientist,3-5 years,Python
Ukraine,Professional degree,Other,3-5 years,Python
India,Doctoral degree,Other,10-20 years,R
Brazil,Bachelor’s degree,Student,3-5 years,Python
Other,Doctoral degree,Student,3-5 years,Python
United States of America,Master’s degree,Data Engineer,3-5 years,Python
Turkey,Master’s degree,Student,1-2 years,Python
Taiwan,Master’s degree,Student,3-5 years,Python
Canada,Bachelor’s degree,Other,< 1 years,Python
Other,Master’s degree,Data Scientist,3-5 years,Python
India,Bachelor’s degree,Product/Project Manager,5-10 years,Python
Tunisia,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
South Korea,Bachelor’s degree,Other,5-10 years,R
Spain,Master’s degree,Other,1-2 years,R
Belgium,Doctoral degree,Other,20+ years,Python
Argentina,Master’s degree,Product/Project Manager,10-20 years,R
Turkey,Doctoral degree,Machine Learning Engineer,1-2 years,Python
Italy,Doctoral degree,Machine Learning Engineer,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Germany,Master’s degree,Student,5-10 years,Python
India,Master’s degree,Student,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,20+ years,Python
Nigeria,Master’s degree,Research Scientist,1-2 years,Python
France,Master’s degree,Other,3-5 years,Python
Mexico,Doctoral degree,Data Scientist,5-10 years,Python
Colombia,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
India,Professional degree,Software Engineer,3-5 years,Python
France,Doctoral degree,Student,3-5 years,Python
Greece,Master’s degree,Data Analyst,10-20 years,SQL
Nigeria,Bachelor’s degree,Other,1-2 years,R
India,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Python
United States of America,Master’s degree,Student,< 1 years,SQL
Australia,Bachelor’s degree,Software Engineer,10-20 years,Python
Spain,Bachelor’s degree,Other,1-2 years,Python
Germany,Doctoral degree,Currently not employed,10-20 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Currently not employed,1-2 years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,C++
Germany,Master’s degree,Data Engineer,10-20 years,SQL
Taiwan,Bachelor’s degree,Student,1-2 years,Python
Brazil,Doctoral degree,Statistician,10-20 years,R
Russia,Master’s degree,Business Analyst,5-10 years,Python
France,Master’s degree,Currently not employed,3-5 years,Python
Turkey,Bachelor’s degree,Product/Project Manager,10-20 years,Python
Romania,Master’s degree,Research Scientist,3-5 years,Python
Turkey,Master’s degree,Other,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Data Analyst,1-2 years,Python
United States of America,Professional degree,Other,10-20 years,Python
Poland,Bachelor’s degree,Machine Learning Engineer,< 1 years,R
Australia,Doctoral degree,Data Scientist,5-10 years,Python
"Iran, Islamic Republic of...",Master’s degree,Data Analyst,3-5 years,Python
Egypt,Bachelor’s degree,Data Scientist,5-10 years,Java
India,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Spain,Master’s degree,Data Scientist,20+ years,Python
Sweden,Doctoral degree,Product/Project Manager,20+ years,Python
India,,,,
India,Master’s degree,Other,10-20 years,Python
United States of America,Bachelor’s degree,,,
Nigeria,Bachelor’s degree,Student,1-2 years,SQL
Other,Bachelor’s degree,Student,< 1 years,Python
Other,Master’s degree,Product/Project Manager,< 1 years,Javascript
Japan,I prefer not to answer,Data Analyst,< 1 years,Python
United States of America,Master’s degree,Machine Learning Engineer,3-5 years,Python
Spain,Doctoral degree,Data Scientist,3-5 years,SQL
United States of America,Bachelor’s degree,Other,20+ years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Thailand,I prefer not to answer,Research Scientist,1-2 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,10-20 years,Python
Brazil,Bachelor’s degree,,,
Other,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Master’s degree,Data Scientist,3-5 years,Python
Germany,Doctoral degree,Student,5-10 years,Python
Turkey,Bachelor’s degree,Data Analyst,< 1 years,Python
Russia,Master’s degree,Other,< 1 years,Python
India,Master’s degree,Currently not employed,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5-10 years,Python
Nepal,Master’s degree,Data Engineer,10-20 years,Python
Other,,,,
Turkey,Master’s degree,Student,< 1 years,R
Pakistan,Master’s degree,Research Scientist,< 1 years,Python
Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python
India,Bachelor’s degree,Software Engineer,< 1 years,Python
Philippines,Bachelor’s degree,Data Analyst,1-2 years,Python
Spain,Doctoral degree,Student,< 1 years,R
Colombia,Master’s degree,Business Analyst,1-2 years,R
Australia,Master’s degree,Currently not employed,3-5 years,Python
Chile,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Master’s degree,Data Scientist,5-10 years,Python
India,Master’s degree,Data Analyst,1-2 years,Python
Nigeria,Master’s degree,Machine Learning Engineer,3-5 years,Python
China,Master’s degree,,,
India,Master’s degree,Machine Learning Engineer,10-20 years,Python
Philippines,Master’s degree,Student,< 1 years,Python
India,Master’s degree,Data Scientist,3-5 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Other,Bachelor’s degree,Student,5-10 years,Python
Mexico,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Ghana,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Bangladesh,Bachelor’s degree,Data Scientist,< 1 years,Python
Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years,Python
Kenya,Bachelor’s degree,Machine Learning Engineer,3-5 years,R
India,Bachelor’s degree,Data Scientist,5-10 years,R
Brazil,Master’s degree,Other,,
India,Professional degree,Student,1-2 years,Python
Israel,Master’s degree,Other,20+ years,Python
Nepal,Bachelor’s degree,Currently not employed,3-5 years,R
India,Master’s degree,Product/Project Manager,1-2 years,Python
Germany,Master’s degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Data Analyst,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
Other,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,C++
India,Master’s degree,Data Scientist,3-5 years,Python
India,Professional degree,DBA/Database Engineer,10-20 years,Python
Mexico,Master’s degree,Product/Project Manager,20+ years,SQL
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,5-10 years,Python
India,Master’s degree,Data Scientist,1-2 years,SQL
Nepal,Master’s degree,Student,1-2 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,1-2 years,Python
Taiwan,I prefer not to answer,,,
Germany,Bachelor’s degree,Student,< 1 years,Python
Japan,Master’s degree,Other,3-5 years,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Python
Israel,Bachelor’s degree,Data Analyst,3-5 years,Python
Nigeria,Bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Other,1-2 years,Python
India,Bachelor’s degree,Data Engineer,10-20 years,Python
Other,Bachelor’s degree,Data Analyst,5-10 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
Russia,Bachelor’s degree,Currently not employed,3-5 years,Python
India,Master’s degree,Other,10-20 years,Python
United States of America,Bachelor’s degree,Data Analyst,3-5 years,SQL
Nigeria,Bachelor’s degree,Data Analyst,1-2 years,Python
United States of America,Doctoral degree,Other,20+ years,R
India,Bachelor’s degree,Data Analyst,3-5 years,Python
Ukraine,No formal education past high school,Statistician,< 1 years,Python
Germany,Doctoral degree,Research Scientist,< 1 years,Python
Russia,,,,
India,Master’s degree,Research Scientist,3-5 years,Python
India,Master’s degree,Student,,
India,Doctoral degree,Other,5-10 years,Python
India,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,3-5 years,Python
India,Bachelor’s degree,Data Scientist,10-20 years,Python
Brazil,Doctoral degree,Software Engineer,20+ years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Bangladesh,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Data Analyst,3-5 years,SQL
South Korea,Master’s degree,Other,10-20 years,Python
United States of America,Master’s degree,Statistician,5-10 years,R
Israel,Master’s degree,Data Scientist,3-5 years,Python
United States of America,Master’s degree,Research Scientist,5-10 years,Python
Poland,Master’s degree,Software Engineer,20+ years,Python
India,Doctoral degree,Data Scientist,10-20 years,C++
India,Bachelor’s degree,Data Scientist,3-5 years,Python
Turkey,Doctoral degree,Statistician,3-5 years,SQL
India,Bachelor’s degree,Software Engineer,10-20 years,Python
India,Some college/university study without earning a bachelor’s degree,Product/Project Manager,< 1 years,Python
India,Master’s degree,Software Engineer,10-20 years,Python
Brazil,Bachelor’s degree,Other,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Germany,Master’s degree,Data Analyst,10-20 years,Python
Nigeria,Master’s degree,Other,5-10 years,Python
United States of America,Bachelor’s degree,Data Engineer,10-20 years,Python
Thailand,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
France,Master’s degree,Data Analyst,< 1 years,Python
India,Master’s degree,Software Engineer,20+ years,Python
Brazil,Bachelor’s degree,,,
India,Bachelor’s degree,Software Engineer,5-10 years,Python
France,Master’s degree,Data Scientist,20+ years,R
Indonesia,Master’s degree,Student,3-5 years,Python
Brazil,Master’s degree,Student,3-5 years,Python
Chile,Bachelor’s degree,Data Engineer,3-5 years,Python
United States of America,Master’s degree,Data Scientist,3-5 years,Python
Other,Master’s degree,Software Engineer,20+ years,C++
Saudi Arabia,Master’s degree,Data Scientist,3-5 years,Python
India,Master’s degree,Other,1-2 years,Python
United States of America,Master’s degree,Student,,
Other,Bachelor’s degree,Student,1-2 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,Python
Other,Master’s degree,Data Scientist,5-10 years,Python
Other,Master’s degree,Software Engineer,1-2 years,Python
India,Master’s degree,Currently not employed,5-10 years,Python
India,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Master’s degree,Other,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,3-5 years,Python
India,Bachelor’s degree,Data Analyst,3-5 years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
India,Bachelor’s degree,Data Analyst,< 1 years,Python
Other,Master’s degree,Machine Learning Engineer,1-2 years,Python
Germany,Master’s degree,Student,5-10 years,Python
Nigeria,Bachelor’s degree,Student,1-2 years,Python
Australia,Master’s degree,Software Engineer,3-5 years,Python
Russia,Bachelor’s degree,Other,3-5 years,Python
Thailand,Master’s degree,Software Engineer,20+ years,Python
Bangladesh,,,,
Canada,Master’s degree,Software Engineer,10-20 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,R
Thailand,Master’s degree,Machine Learning Engineer,1-2 years,Julia
Brazil,Master’s degree,Data Scientist,3-5 years,Python
United States of America,Master’s degree,Currently not employed,5-10 years,Python
Philippines,Bachelor’s degree,Other,1-2 years,SQL
Other,Master’s degree,Student,< 1 years,Python
China,,,,
Other,Bachelor’s degree,Research Scientist,10-20 years,Python
India,Doctoral degree,Research Scientist,< 1 years,Python
United States of America,Master’s degree,Data Analyst,5-10 years,Python
United States of America,Master’s degree,Business Analyst,5-10 years,Python
Japan,I prefer not to answer,Business Analyst,5-10 years,Python
Mexico,Bachelor’s degree,DBA/Database Engineer,20+ years,Python
India,Doctoral degree,Research Scientist,5-10 years,Python
Indonesia,Bachelor’s degree,Other,< 1 years,Python
Argentina,Bachelor’s degree,Other,10-20 years,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Python
Nigeria,Bachelor’s degree,Data Analyst,3-5 years,Python
Bangladesh,Doctoral degree,Statistician,< 1 years,Python
India,Doctoral degree,Student,1-2 years,R
India,Master’s degree,Data Scientist,3-5 years,Python
United States of America,Master’s degree,Research Scientist,5-10 years,Python
Singapore,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Bachelor’s degree,Statistician,10-20 years,Python
United States of America,Doctoral degree,Currently not employed,20+ years,Python
Germany,Master’s degree,Software Engineer,5-10 years,Python
Tunisia,Bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,Business Analyst,< 1 years,Python
India,Bachelor’s degree,Student,< 1 years,R
Other,Some college/university study without earning a bachelor’s degree,Statistician,20+ years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Russia,Bachelor’s degree,,,
Portugal,Master’s degree,Data Analyst,1-2 years,Python
Tunisia,Master’s degree,Data Scientist,3-5 years,Python
South Korea,Some college/university study without earning a bachelor’s degree,,,
Netherlands,Doctoral degree,Product/Project Manager,5-10 years,Python
India,Master’s degree,,,
United States of America,Master’s degree,Data Analyst,3-5 years,R
Colombia,Professional degree,Business Analyst,3-5 years,Python
India,Master’s degree,Software Engineer,3-5 years,C
India,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Python
Other,Master’s degree,Student,< 1 years,R
India,Bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,Student,3-5 years,Python
Brazil,Bachelor’s degree,Data Scientist,3-5 years,Python
United States of America,Master’s degree,Student,3-5 years,Python
France,Master’s degree,Product/Project Manager,3-5 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Software Engineer,10-20 years,Python
United States of America,Master’s degree,Data Engineer,5-10 years,SQL
Australia,Doctoral degree,Research Scientist,3-5 years,Julia
India,Master’s degree,Data Scientist,1-2 years,Python
United States of America,Professional degree,Research Scientist,5-10 years,Python
Russia,Professional degree,Currently not employed,1-2 years,Python
Australia,Bachelor’s degree,Other,1-2 years,Python
Mexico,Master’s degree,Machine Learning Engineer,3-5 years,Python
France,Master’s degree,Currently not employed,3-5 years,C
Morocco,Master’s degree,Data Scientist,3-5 years,Python
Sweden,Master’s degree,Student,10-20 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Python
United States of America,Doctoral degree,Machine Learning Engineer,10-20 years,Other
United States of America,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Other,Master’s degree,Data Analyst,3-5 years,Python
Japan,,,,
United States of America,Bachelor’s degree,Business Analyst,3-5 years,Python
India,Bachelor’s degree,Data Analyst,3-5 years,Javascript
India,Master’s degree,Currently not employed,1-2 years,Python
United States of America,Doctoral degree,Software Engineer,5-10 years,Python
Pakistan,Bachelor’s degree,Student,3-5 years,Java
India,Master’s degree,Student,3-5 years,Python
Taiwan,Master’s degree,Student,3-5 years,Python
Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python
Other,Master’s degree,Software Engineer,20+ years,Python
Russia,Doctoral degree,Product/Project Manager,< 1 years,Python
Other,Master’s degree,Data Scientist,3-5 years,Python
Australia,Bachelor’s degree,Data Analyst,5-10 years,SQL
Pakistan,Bachelor’s degree,Student,3-5 years,C++
India,Bachelor’s degree,Student,1-2 years,Python
China,Master’s degree,Student,10-20 years,
Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python
Bangladesh,Bachelor’s degree,Student,3-5 years,Python
Canada,Master’s degree,Data Scientist,5-10 years,Python
Colombia,Professional degree,Data Analyst,1-2 years,SQL
India,Bachelor’s degree,Student,3-5 years,C++
United States of America,Master’s degree,Business Analyst,3-5 years,Python
France,Master’s degree,Student,3-5 years,Python
Tunisia,I prefer not to answer,Machine Learning Engineer,3-5 years,Bash
South Korea,Master’s degree,Student,3-5 years,Python
Other,Doctoral degree,Research Scientist,20+ years,C++
India,Master’s degree,Software Engineer,1-2 years,Python
India,Master’s degree,Student,3-5 years,Python
Other,Master’s degree,Software Engineer,20+ years,Python
United States of America,Master’s degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,DBA/Database Engineer,1-2 years,Python
Netherlands,Bachelor’s degree,Data Analyst,1-2 years,R
Morocco,Master’s degree,Student,1-2 years,Python
Israel,Bachelor’s degree,Currently not employed,3-5 years,Python
United States of America,Bachelor’s degree,Software Engineer,20+ years,Python
Brazil,Master’s degree,Statistician,10-20 years,R
India,Professional degree,Data Analyst,10-20 years,R
India,Master’s degree,Data Analyst,< 1 years,Python
India,No formal education past high school,Student,1-2 years,Python
India,Master’s degree,Student,3-5 years,C
India,Master’s degree,Student,1-2 years,Python
Other,Master’s degree,Data Analyst,1-2 years,Java
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
Sri Lanka,Bachelor’s degree,Student,3-5 years,Python
Japan,Master’s degree,Software Engineer,5-10 years,Python
Nigeria,Bachelor’s degree,Student,5-10 years,R
India,Bachelor’s degree,Data Scientist,1-2 years,Python
Thailand,I prefer not to answer,Machine Learning Engineer,3-5 years,Python
Australia,I prefer not to answer,Data Scientist,5-10 years,Python
Republic of Korea,Bachelor’s degree,Data Scientist,1-2 years,SQL
Kenya,Some college/university study without earning a bachelor’s degree,Data Analyst,1-2 years,
India,Master’s degree,Machine Learning Engineer,3-5 years,C
Turkey,Master’s degree,Data Scientist,1-2 years,Python
United States of America,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Master’s degree,Other,20+ years,Python
Russia,Master’s degree,Other,20+ years,Python
Japan,Master’s degree,,,
United States of America,Master’s degree,Other,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Other,Doctoral degree,Machine Learning Engineer,3-5 years,Python
Japan,Doctoral degree,Student,5-10 years,Python
India,Bachelor’s degree,Other,< 1 years,Python
Other,Bachelor’s degree,Other,1-2 years,R
United States of America,Bachelor’s degree,Data Analyst,3-5 years,Python
India,Bachelor’s degree,Student,5-10 years,Python
China,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Python
Turkey,Doctoral degree,Other,10-20 years,R
Other,Master’s degree,Machine Learning Engineer,5-10 years,SQL
Spain,Master’s degree,Other,5-10 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Brazil,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Japan,Doctoral degree,Research Scientist,5-10 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
Germany,Doctoral degree,Data Analyst,3-5 years,Python
South Korea,Master’s degree,Product/Project Manager,1-2 years,Python
United States of America,Master’s degree,Data Analyst,< 1 years,SQL
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,R
