Q3,Q4,Q5,Q6,prog_lang,selected_lang
Brazil,Master’s degree,Data Analyst,5-10 years,Q7_Part_4,C
France,Bachelor’s degree,Other,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_4,C
India,Master’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Doctoral degree,Research Scientist,20+ years,Q7_Part_4,C
Germany,Master’s degree,Student,5-10 years,Q7_Part_4,C
Other,Doctoral degree,Machine Learning Engineer,5-10 years,Q7_Part_4,C
Greece,Doctoral degree,Research Scientist,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_4,C
Sweden,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Q7_Part_4,C
Switzerland,Doctoral degree,Research Scientist,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Student,3-5 years,Q7_Part_4,C
Japan,Doctoral degree,Product/Project Manager,20+ years,Q7_Part_4,C
Egypt,Doctoral degree,Research Scientist,1-2 years,Q7_Part_4,C
Turkey,Professional degree,Data Engineer,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_4,C
India,Master’s degree,Other,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Data Scientist,3-5 years,Q7_Part_4,C
Germany,Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_4,C
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Egypt,Bachelor’s degree,Other,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_4,C
Japan,Bachelor’s degree,Other,5-10 years,Q7_Part_4,C
Turkey,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_4,C
Turkey,Some college/university study without earning a bachelor’s degree,Currently not employed,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Israel,Master’s degree,Currently not employed,5-10 years,Q7_Part_4,C
China,Master’s degree,Student,3-5 years,Q7_Part_4,C
France,Master’s degree,Software Engineer,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_4,C
India,Professional degree,Software Engineer,3-5 years,Q7_Part_4,C
Morocco,Master’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_4,C
Turkey,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
Malaysia,Doctoral degree,Research Scientist,20+ years,Q7_Part_4,C
Sweden,Bachelor’s degree,Data Analyst,10-20 years,Q7_Part_4,C
Tunisia,Master’s degree,Data Analyst,3-5 years,Q7_Part_4,C
Brazil,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Ireland,Doctoral degree,Software Engineer,3-5 years,Q7_Part_4,C
Brazil,Bachelor’s degree,Other,1-2 years,Q7_Part_4,C
Canada,Doctoral degree,Data Scientist,20+ years,Q7_Part_4,C
China,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_4,C
United States of America,Bachelor’s degree,Other,20+ years,Q7_Part_4,C
Tunisia,Doctoral degree,Research Scientist,5-10 years,Q7_Part_4,C
India,Master’s degree,Machine Learning Engineer,10-20 years,Q7_Part_4,C
Netherlands,Doctoral degree,Software Engineer,10-20 years,Q7_Part_4,C
India,Master’s degree,Software Engineer,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Republic of Korea,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_4,C
United States of America,Doctoral degree,Data Scientist,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_4,C
Nigeria,Master’s degree,Research Scientist,3-5 years,Q7_Part_4,C
China,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Japan,Master’s degree,Machine Learning Engineer,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
India,Master’s degree,Research Scientist,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
Other,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
United States of America,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_4,C
United States of America,Master’s degree,DBA/Database Engineer,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
United States of America,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Egypt,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Currently not employed,5-10 years,Q7_Part_4,C
France,Master’s degree,Product/Project Manager,5-10 years,Q7_Part_4,C
Russia,Doctoral degree,Product/Project Manager,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Germany,Master’s degree,DBA/Database Engineer,3-5 years,Q7_Part_4,C
Turkey,Master’s degree,Currently not employed,3-5 years,Q7_Part_4,C
India,Master’s degree,Student,3-5 years,Q7_Part_4,C
Indonesia,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Japan,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_4,C
India,Master’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Indonesia,Bachelor’s degree,Student,5-10 years,Q7_Part_4,C
India,Master’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Spain,Master’s degree,Student,3-5 years,Q7_Part_4,C
Russia,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_4,C
Chile,Master’s degree,Product/Project Manager,3-5 years,Q7_Part_4,C
China,Master’s degree,Student,3-5 years,Q7_Part_4,C
Morocco,Master’s degree,Data Scientist,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_4,C
Other,Doctoral degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Other,Master’s degree,Currently not employed,3-5 years,Q7_Part_4,C
Indonesia,Professional degree,Business Analyst,3-5 years,Q7_Part_4,C
United States of America,Master’s degree,Business Analyst,< 1 years,Q7_Part_4,C
Other,Doctoral degree,Data Scientist,5-10 years,Q7_Part_4,C
Other,Professional degree,Student,3-5 years,Q7_Part_4,C
Viet Nam,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Other,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Turkey,Master’s degree,Student,5-10 years,Q7_Part_4,C
Japan,Master’s degree,Student,< 1 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,10-20 years,Q7_Part_4,C
"Iran, Islamic Republic of...",Doctoral degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
South Korea,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Other,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Currently not employed,3-5 years,Q7_Part_4,C
Pakistan,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Taiwan,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_4,C
United States of America,Doctoral degree,Other,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Student,5-10 years,Q7_Part_4,C
India,Master’s degree,Student,< 1 years,Q7_Part_4,C
Sri Lanka,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Indonesia,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Saudi Arabia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_4,C
India,Master’s degree,Research Scientist,< 1 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Student,3-5 years,Q7_Part_4,C
Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,Q7_Part_4,C
France,Master’s degree,Student,1-2 years,Q7_Part_4,C
Nigeria,No formal education past high school,Student,< 1 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Nepal,Some college/university study without earning a bachelor’s degree,Research Scientist,3-5 years,Q7_Part_4,C
Italy,Master’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_4,C
"Iran, Islamic Republic of...",Master’s degree,Research Scientist,3-5 years,Q7_Part_4,C
Taiwan,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_4,C
India,Master’s degree,Data Scientist,10-20 years,Q7_Part_4,C
Russia,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_4,C
India,Doctoral degree,Currently not employed,10-20 years,Q7_Part_4,C
Brazil,Doctoral degree,Data Scientist,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Morocco,Master’s degree,Student,1-2 years,Q7_Part_4,C
India,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,I prefer not to answer,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
United Arab Emirates,Bachelor’s degree,Product/Project Manager,5-10 years,Q7_Part_4,C
"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,< 1 years,Q7_Part_4,C
Greece,Master’s degree,Student,3-5 years,Q7_Part_4,C
Other,Master’s degree,Other,1-2 years,Q7_Part_4,C
India,Doctoral degree,Machine Learning Engineer,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Other,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
India,Master’s degree,Currently not employed,3-5 years,Q7_Part_4,C
South Korea,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
Australia,Master’s degree,Other,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Machine Learning Engineer,10-20 years,Q7_Part_4,C
China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
Turkey,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_4,C
Republic of Korea,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Bangladesh,Master’s degree,Research Scientist,5-10 years,Q7_Part_4,C
Germany,Master’s degree,Research Scientist,5-10 years,Q7_Part_4,C
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Other,Doctoral degree,Other,20+ years,Q7_Part_4,C
Brazil,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_4,C
India,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_4,C
Other,Professional degree,Product/Project Manager,3-5 years,Q7_Part_4,C
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_4,C
Japan,Master’s degree,Data Analyst,10-20 years,Q7_Part_4,C
Belarus,Doctoral degree,Student,3-5 years,Q7_Part_4,C
Morocco,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_4,C
Spain,Master’s degree,Data Scientist,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
India,Master’s degree,Data Scientist,5-10 years,Q7_Part_4,C
South Korea,Bachelor’s degree,Machine Learning Engineer,5-10 years,Q7_Part_4,C
Turkey,Doctoral degree,Other,20+ years,Q7_Part_4,C
Other,Doctoral degree,Data Scientist,5-10 years,Q7_Part_4,C
Indonesia,Master’s degree,Student,3-5 years,Q7_Part_4,C
Singapore,Doctoral degree,Software Engineer,20+ years,Q7_Part_4,C
Viet Nam,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Morocco,Doctoral degree,Research Scientist,5-10 years,Q7_Part_4,C
Turkey,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_4,C
China,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Japan,Master’s degree,Data Scientist,10-20 years,Q7_Part_4,C
India,Doctoral degree,Other,10-20 years,Q7_Part_4,C
United States of America,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Data Analyst,3-5 years,Q7_Part_4,C
India,Doctoral degree,Research Scientist,< 1 years,Q7_Part_4,C
Colombia,Master’s degree,Data Engineer,20+ years,Q7_Part_4,C
Other,Master’s degree,Currently not employed,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Currently not employed,10-20 years,Q7_Part_4,C
Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
France,Master’s degree,Other,20+ years,Q7_Part_4,C
Japan,Bachelor’s degree,Software Engineer,20+ years,Q7_Part_4,C
Greece,Master’s degree,Data Analyst,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
India,Professional degree,Student,1-2 years,Q7_Part_4,C
Japan,Master’s degree,Data Scientist,20+ years,Q7_Part_4,C
India,Master’s degree,Student,1-2 years,Q7_Part_4,C
China,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
United States of America,Master’s degree,Software Engineer,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
Other,Master’s degree,Student,5-10 years,Q7_Part_4,C
Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Doctoral degree,Research Scientist,5-10 years,Q7_Part_4,C
United States of America,Doctoral degree,Research Scientist,20+ years,Q7_Part_4,C
Japan,Doctoral degree,Other,20+ years,Q7_Part_4,C
Indonesia,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_4,C
China,Master’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Data Analyst,1-2 years,Q7_Part_4,C
Sweden,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Business Analyst,20+ years,Q7_Part_4,C
Taiwan,I prefer not to answer,Software Engineer,5-10 years,Q7_Part_4,C
India,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years,Q7_Part_4,C
Germany,Doctoral degree,Software Engineer,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Viet Nam,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_4,C
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_4,C
"Iran, Islamic Republic of...",Master’s degree,Student,3-5 years,Q7_Part_4,C
Other,Master’s degree,Data Analyst,5-10 years,Q7_Part_4,C
France,Doctoral degree,Research Scientist,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
Germany,Doctoral degree,Product/Project Manager,1-2 years,Q7_Part_4,C
United States of America,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_4,C
Japan,Master’s degree,Software Engineer,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Currently not employed,20+ years,Q7_Part_4,C
India,Master’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Student,1-2 years,Q7_Part_4,C
United States of America,Doctoral degree,Data Scientist,10-20 years,Q7_Part_4,C
United States of America,Doctoral degree,Data Scientist,10-20 years,Q7_Part_4,C
Switzerland,Master’s degree,Research Scientist,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Data Engineer,1-2 years,Q7_Part_4,C
Spain,Doctoral degree,Research Scientist,5-10 years,Q7_Part_4,C
China,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Software Engineer,< 1 years,Q7_Part_4,C
Other,Master’s degree,Data Scientist,1-2 years,Q7_Part_4,C
Other,Master’s degree,Other,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Professional degree,Other,3-5 years,Q7_Part_4,C
Kenya,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Brazil,Master’s degree,Software Engineer,20+ years,Q7_Part_4,C
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Data Engineer,3-5 years,Q7_Part_4,C
Viet Nam,Master’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Student,5-10 years,Q7_Part_4,C
Spain,Bachelor’s degree,Currently not employed,10-20 years,Q7_Part_4,C
Brazil,Doctoral degree,Software Engineer,3-5 years,Q7_Part_4,C
India,Master’s degree,Student,1-2 years,Q7_Part_4,C
India,I prefer not to answer,Business Analyst,1-2 years,Q7_Part_4,C
India,Master’s degree,Other,1-2 years,Q7_Part_4,C
Other,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_4,C
Italy,Doctoral degree,Software Engineer,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
United States of America,Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_4,C
United States of America,Doctoral degree,Machine Learning Engineer,5-10 years,Q7_Part_4,C
India,Master’s degree,Other,3-5 years,Q7_Part_4,C
Brazil,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
India,Master’s degree,Currently not employed,< 1 years,Q7_Part_4,C
United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Q7_Part_4,C
Republic of Korea,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_4,C
India,Master’s degree,Student,1-2 years,Q7_Part_4,C
Brazil,Doctoral degree,Student,5-10 years,Q7_Part_4,C
Indonesia,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Currently not employed,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Professional degree,Student,< 1 years,Q7_Part_4,C
United States of America,Doctoral degree,Other,20+ years,Q7_Part_4,C
Tunisia,Master’s degree,Student,1-2 years,Q7_Part_4,C
Singapore,Master’s degree,Research Scientist,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_4,C
Mexico,Master’s degree,Software Engineer,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_4,C
Other,Doctoral degree,Student,1-2 years,Q7_Part_4,C
Japan,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Pakistan,Doctoral degree,Data Scientist,< 1 years,Q7_Part_4,C
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,3-5 years,Q7_Part_4,C
Germany,Doctoral degree,Software Engineer,20+ years,Q7_Part_4,C
Israel,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Other,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Spain,Master’s degree,Data Scientist,5-10 years,Q7_Part_4,C
China,Master’s degree,Machine Learning Engineer,10-20 years,Q7_Part_4,C
Egypt,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Sweden,Master’s degree,Student,10-20 years,Q7_Part_4,C
South Korea,Doctoral degree,Research Scientist,10-20 years,Q7_Part_4,C
India,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
Russia,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
"Iran, Islamic Republic of...",Doctoral degree,Data Scientist,3-5 years,Q7_Part_4,C
Taiwan,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Q7_Part_4,C
Brazil,Doctoral degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_4,C
United States of America,Master’s degree,Other,20+ years,Q7_Part_4,C
India,Master’s degree,Student,< 1 years,Q7_Part_4,C
South Korea,Master’s degree,Research Scientist,5-10 years,Q7_Part_4,C
India,Doctoral degree,Currently not employed,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Ukraine,Doctoral degree,Data Scientist,20+ years,Q7_Part_4,C
France,Master’s degree,Product/Project Manager,1-2 years,Q7_Part_4,C
Morocco,Doctoral degree,Research Scientist,10-20 years,Q7_Part_4,C
Turkey,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_4,C
Greece,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
Turkey,Doctoral degree,Student,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Turkey,Bachelor’s degree,Student,5-10 years,Q7_Part_4,C
Indonesia,Some college/university study without earning a bachelor’s degree,Currently not employed,3-5 years,Q7_Part_4,C
Turkey,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
India,Master’s degree,Data Analyst,1-2 years,Q7_Part_4,C
Ukraine,I prefer not to answer,Data Scientist,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_4,C
Viet Nam,Master’s degree,Student,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Thailand,Bachelor’s degree,Other,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Japan,Master’s degree,Other,1-2 years,Q7_Part_4,C
Mexico,Bachelor’s degree,Student,5-10 years,Q7_Part_4,C
United States of America,Doctoral degree,Research Scientist,20+ years,Q7_Part_4,C
India,Master’s degree,Software Engineer,10-20 years,Q7_Part_4,C
Turkey,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_4,C
Canada,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,< 1 years,Q7_Part_4,C
United States of America,Bachelor’s degree,Machine Learning Engineer,5-10 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
India,I prefer not to answer,Currently not employed,10-20 years,Q7_Part_4,C
United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,Q7_Part_4,C
India,Professional degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
Other,I prefer not to answer,Student,< 1 years,Q7_Part_4,C
Indonesia,Master’s degree,Student,< 1 years,Q7_Part_4,C
Australia,Master’s degree,Product/Project Manager,10-20 years,Q7_Part_4,C
Other,No formal education past high school,Student,< 1 years,Q7_Part_4,C
China,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
China,Master’s degree,Student,3-5 years,Q7_Part_4,C
India,Master’s degree,Research Scientist,10-20 years,Q7_Part_4,C
Mexico,Master’s degree,Product/Project Manager,5-10 years,Q7_Part_4,C
China,Master’s degree,Data Engineer,5-10 years,Q7_Part_4,C
Other,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_4,C
Turkey,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Belgium,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_4,C
Mexico,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Master’s degree,Other,10-20 years,Q7_Part_4,C
India,Master’s degree,Student,< 1 years,Q7_Part_4,C
India,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_4,C
India,Professional degree,Research Scientist,3-5 years,Q7_Part_4,C
Indonesia,Bachelor’s degree,Software Engineer,< 1 years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Student,3-5 years,Q7_Part_4,C
Egypt,Doctoral degree,Machine Learning Engineer,3-5 years,Q7_Part_4,C
China,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_4,C
United States of America,Master’s degree,Statistician,3-5 years,Q7_Part_4,C
India,Bachelor’s degree,Business Analyst,3-5 years,Q7_Part_4,C
South Korea,Master’s degree,Software Engineer,10-20 years,Q7_Part_4,C
Morocco,Doctoral degree,Data Engineer,10-20 years,Q7_Part_4,C
United States of America,Master’s degree,Software Engineer,20+ years,Q7_Part_4,C
India,Bachelor’s degree,Student,1-2 years,Q7_Part_4,C
India,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_4,C
India,Master’s degree,Research Scientist,10-20 years,Q7_Part_4,C
Morocco,Master’s degree,Other,3-5 years,Q7_Part_4,C
Ukraine,Master’s degree,Student,1-2 years,Q7_Part_4,C
